Report_key,Date,Category,Coalition_forces_wounded,Coalition_forces_killed,Iraq_forces_wounded,Iraq_forces_killed,Civilian_wia,Civilian_kia,Enemy_wia,Enemy_kia,Enemy_detained,Total_deaths,Latitude,Longitude
12437,2/9/04,Direct Fire,0,0,1,2,0,1,0,0,0,3,32.95245743,44.35699081
12427,2/9/04,Attack,0,0,0,0,0,0,0,2,0,2,34.39648819,40.98209
12457,2/10/04,Direct Fire,0,0,2,1,0,0,0,0,0,1,36.3302803,43.19174194
12463,2/10/04,Direct Fire,0,0,0,3,0,0,0,0,0,3,33.36532974,44.31204987
12711,2/11/04,Direct Fire,0,0,0,1,0,0,0,0,0,1,33.4250145,43.29838943
12583,2/11/04,Direct Fire,0,0,1,2,0,0,0,0,0,2,33.41498947,43.2265358
12629,2/11/04,Direct Fire,0,0,4,1,0,0,0,0,0,1,36.37447739,43.13498306
12682,2/12/04,Direct Fire,0,0,0,1,0,0,0,0,0,1,36.35969543,43.16988373
12672,2/12/04,Attack,0,0,0,0,0,0,1,1,1,1,35.46966171,44.38938141
12771,2/14/04,Direct Fire,0,0,30,23,0,0,3,4,1,27,33.35313797,43.78123093
12788,2/14/04,Direct Fire,0,0,0,0,3,1,0,0,0,1,33.05981064,44.35942459
12802,2/14/04,Direct Fire,0,0,0,3,0,0,0,0,0,3,33.65045547,44.33243561
12857,2/15/04,Direct Fire,0,0,0,0,5,3,0,0,1,3,30.50031662,47.8162384
E3A8B70E-CD9B-42E1-87DD-B3E6CFF2E662,2/15/04,Direct Fire,0,0,0,0,5,3,0,0,0,3,30.50031662,47.8162384
12866,2/15/04,Direct Fire,0,0,0,0,0,0,0,1,2,1,33.97513199,44.94370651
12879,2/15/04,Direct Fire,0,0,0,0,0,0,0,2,0,2,33.4703064,43.24800873
12928,2/16/04,Direct Fire,0,0,0,0,0,0,1,1,1,1,33.36601639,44.44963455
13027,2/16/04,Direct Fire,0,0,0,0,0,1,0,0,0,1,33.30677414,44.32539749
13109,2/18/04,Direct Fire,0,0,1,1,0,0,0,0,0,1,33.35593796,44.24763489
13105,2/18/04,Direct Fire,0,0,0,0,0,1,0,0,0,1,34.58944321,43.6860466
13113,2/18/04,Indirect Fire,1,0,0,0,0,0,0,1,7,1,33.29104233,44.06787109
13150,2/19/04,Direct Fire,1,0,1,2,0,0,1,1,0,3,34.13206482,42.38008499
13168,2/19/04,Direct Fire,1,0,0,0,0,0,0,1,0,1,33.46035385,43.45575333
13169,2/19/04,Direct Fire,0,0,0,1,0,0,0,0,0,1,33.40307236,43.91387177
13251,2/20/04,Direct Fire,0,0,1,1,0,0,0,0,0,1,32.88259888,44.4622612
13311,2/20/04,Attack,0,0,0,1,0,0,0,0,0,1,32.00867081,44.91212082
13318,2/21/04,Direct Fire,4,0,0,0,0,1,0,0,0,1,32.93533707,44.36032486
13498,2/21/04,Direct Fire,0,0,0,0,1,1,0,0,0,1,33.31194687,44.14059067
13416,2/21/04,Direct Fire,0,0,0,0,0,0,0,1,0,1,36.34959412,43.15786362
13372,2/21/04,Direct Fire,0,0,1,0,0,0,0,1,0,1,34.05895996,43.9402504
13445,2/22/04,Attack,0,0,0,0,0,0,0,2,0,2,36.35411835,43.1588707
13443,2/22/04,Indirect Fire,0,0,0,0,4,4,0,0,4,4,33.74014664,44.64913559
13453,2/22/04,Indirect Fire,0,0,0,0,0,2,0,0,0,2,33.36829376,44.36039734
13481,2/23/04,Direct Fire,0,0,0,1,0,0,0,0,0,1,34.20101929,43.89180756
13587,2/23/04,Attack,0,0,0,1,0,0,0,0,0,1,36.35057449,43.22247314
13530,2/23/04,Direct Fire,0,0,0,0,0,1,0,0,0,1,36.35257339,43.23579788
13592,2/24/04,Direct Fire,0,0,0,0,0,1,0,0,7,1,33.3384819,43.95443344
13604,2/24/04,Direct Fire,0,0,0,0,1,1,0,0,0,1,36.34969711,43.16454697
13618,2/24/04,Direct Fire,0,0,1,1,0,0,0,0,0,1,33.35498428,43.78550339
13637,2/25/04,Direct Fire,0,0,0,1,0,0,0,0,0,1,36.31235886,43.19883728
13847,2/27/04,Direct Fire,0,0,0,0,0,0,0,2,2,2,36.30540085,43.21570206
13831,2/27/04,Direct Fire,0,0,0,1,0,0,0,0,0,1,35.47866058,44.3860054
13953,2/29/04,Direct Fire,0,0,0,0,0,0,2,1,1,1,34.38444901,41.0126915
14037,3/1/04,Direct Fire,0,0,0,0,0,0,2,1,0,1,32.87365341,44.34537506
14139,3/2/04,Direct Fire,0,0,0,0,0,0,0,1,0,1,36.18393326,43.23069382
14190,3/3/04,Attack,1,0,0,0,0,0,1,1,0,1,33.28725433,44.09250641
14211,3/3/04,Attack,0,0,0,0,0,0,0,1,0,1,33.30331802,44.35335159
14314,3/4/04,Direct Fire,0,0,0,0,3,0,0,3,0,3,36.35094452,43.1836853
14317,3/4/04,Direct Fire,0,0,0,0,0,0,0,1,0,1,33.4178009,44.06103516
14356,3/4/04,Direct Fire,0,0,2,1,0,0,0,0,0,1,35.39928818,44.38110352
14333,3/4/04,Direct Fire,0,0,0,0,0,1,0,0,0,1,33.78702545,44.67337799
14388,3/5/04,Direct Fire,7,0,0,0,0,0,0,3,0,3,31.51358795,47.29249191
14411,3/5/04,Direct Fire,0,0,0,0,0,0,0,4,0,4,33.65446091,44.64732742
438126AA-273B-4546-AA41-2AB221E24A07,3/6/04,Direct Fire,0,0,0,0,0,3,0,0,0,3,31.51358795,47.29249191
14444,3/6/04,Direct Fire,0,0,1,0,0,0,0,3,0,3,30.60863876,47.0946312
14497,3/6/04,Direct Fire,0,0,0,1,0,0,0,0,0,1,36.32832718,43.18175888
14581,3/8/04,Direct Fire,0,0,3,3,0,0,0,0,0,3,33.3251152,44.38327789
14598,3/8/04,Direct Fire,0,0,0,0,0,1,0,0,0,1,32.90565872,44.3776474
14639,3/8/04,Direct Fire,0,0,4,0,0,0,2,2,0,2,36.39923859,43.16226959
14641,3/8/04,Direct Fire,0,0,0,0,0,0,0,1,2,1,33.87108612,44.71023178
4C57862F-5E8F-4911-B9C9-9453B4BFEF33,3/9/04,Direct Fire,0,0,2,4,0,0,0,0,0,4,31.04725266,46.24079895
14926,3/10/04,Direct Fire,0,0,0,0,10,1,0,0,0,1,34.00494766,44.53975677
14803,3/10/04,Direct Fire,0,0,0,0,0,2,0,0,0,2,30.52201653,47.81373978
14874,3/11/04,Direct Fire,0,0,0,0,0,1,0,0,0,1,36.35214615,43.23123932
15021,3/12/04,Direct Fire,0,0,0,1,0,0,0,0,0,1,33.29135895,44.31048203
15016,3/13/04,Direct Fire,0,0,1,1,0,0,0,0,0,1,36.35007095,43.18905258
15054,3/13/04,Direct Fire,0,0,0,0,1,1,1,0,0,1,32.93801117,44.37185669
15099,3/14/04,Attack,0,0,0,0,0,2,0,0,0,2,36.35170364,43.23804855
15108,3/14/04,Indirect Fire,0,0,0,0,0,0,0,1,0,1,33.30265045,44.17924118
15144,3/15/04,Direct Fire,0,0,0,0,0,2,0,0,0,2,35.44526672,44.37639999
B4BFDD48-EA9B-498D-9EE3-06AA70E51468,3/15/04,Direct Fire,0,0,0,0,1,1,0,0,0,1,35.9746666,45.59119034
15162,3/15/04,Direct Fire,0,0,0,0,1,4,0,0,0,4,36.35125732,43.14891052
15226,3/16/04,Attack,0,0,0,0,2,1,0,0,2,1,36.37254715,43.18518829
15209,3/16/04,Direct Fire,0,0,1,0,1,4,0,0,0,4,32.7588768,44.25803375
15207,3/16/04,Direct Fire,0,0,0,0,0,1,0,0,0,1,33.04308319,44.26958466
15262,3/16/04,Direct Fire,0,0,1,2,0,0,0,0,0,2,36.37276459,43.1405983
15230,3/16/04,Indirect Fire,0,0,0,0,2,3,0,0,0,3,33.20946121,44.37926102
15231,3/16/04,Indirect Fire,0,0,0,0,3,1,0,0,0,1,33.33896255,44.38367462
15289,3/17/04,Indirect Fire,7,1,0,0,0,0,0,0,0,1,33.29970932,44.1987114
15403,3/18/04,Direct Fire,0,0,0,0,10,4,0,0,0,4,33.66180038,44.69475555
15394,3/18/04,Direct Fire,0,0,0,0,0,1,0,0,6,1,31.20094109,45.54584122
15386,3/18/04,Indirect Fire,3,1,0,0,0,0,0,0,0,1,33.80979919,42.40291595
15413,3/19/04,Direct Fire,0,0,0,0,0,0,0,1,0,1,33.78784943,42.47484207
15404,3/19/04,Attack,0,0,0,0,0,0,1,1,1,1,33.32601929,44.38380814
15489,3/20/04,Attack,0,0,0,0,3,1,0,0,0,1,36.3509903,43.1901474
15516,3/20/04,Indirect Fire,7,2,0,0,0,0,0,0,5,2,33.30809402,43.88282776
15608,3/21/04,Direct Fire,0,0,0,0,0,0,0,1,0,1,33.49104691,43.45101166
15554,3/21/04,Indirect Fire,1,0,0,0,9,1,0,0,0,1,33.29831696,44.40141296
15579,3/21/04,Assassination,0,0,0,3,0,0,0,0,0,3,34.01639175,44.14871979
15650,3/21/04,Indirect Fire,0,0,0,0,2,2,0,0,0,2,33.90324783,44.78075409
15638,3/22/04,Direct Fire,0,0,4,1,0,0,0,0,0,1,36.37914276,43.20398712
15661,3/22/04,Direct Fire,0,0,0,0,0,2,0,0,0,2,33.31835938,44.29952621
15690,3/22/04,Direct Fire,0,0,0,0,0,1,0,0,0,1,34.27660751,45.1749115
15699,3/23/04,Direct Fire,0,0,2,9,0,0,0,0,0,9,32.69721222,44.36309433
15710,3/23/04,Direct Fire,0,0,2,2,0,0,0,0,0,2,35.45630264,44.38683701
15739,3/23/04,Indirect Fire,0,0,0,0,6,2,0,0,0,2,36.34301376,43.19924545
